year,max_pct,min_pct,avg_pct,gap_pp
2004,38.43,0.1,12.52,38.33
2005,39.98,0.12,12.98,39.86
2006,41.73,0.15,13.2,41.58
2007,43.22,0.18,13.84,43.05
2008,43.92,0.2,14.55,43.73
2009,47.02,0.22,16.19,46.8
2010,46.1,0.98,16.6,45.12
2011,47.63,1.85,17.08,45.78
2012,49.4,2.86,18.24,46.54
2013,50.15,3.49,19.16,46.66
2014,51.15,4.47,19.95,46.68
2015,52.22,4.99,20.53,47.23
2016,52.6,5.36,20.62,47.23
2017,53.39,6.19,21.03,47.2
2018,53.92,7.39,21.68,46.52
2019,55.78,7.05,22.53,48.74
2020,60.12,10.71,24.46,49.41
2021,62.53,11.71,24.92,50.81
2022,66.29,13.02,25.83,53.27
2023,66.39,14.31,27.34,52.08
2024,62.85,14.34,28.12,48.51
