ISO_3_SOV,country,renewable_pct_2024
AUT,Austria,42.951
BEL,Belgium,14.336
BGR,Bulgaria,23.21
CYP,Cyprus,20.844
CZE,Czechia,19.211
DEU,Germany,22.474
DNK,Denmark,46.461
ESP,Spain,25.417
EST,Estonia,42.232
FIN,Finland,52.124
FRA,France,23.229
HRV,Croatia,26.477
HUN,Hungary,18.264
IRL,Ireland,16.064
ITA,Italy,19.385
LTU,Lithuania,35.408
LUX,Luxembourg,14.742
LVA,Latvia,45.535
MLT,Malta,17.21
NLD,Netherlands,20.18
POL,Poland,17.77
PRT,Portugal,36.319
ROU,Romania,25.378
SVK,Slovakia,18.092
SVN,Slovenia,25.001
SWE,Sweden,62.846
