year,Austria,Belgium,Bulgaria,Croatia,Cyprus,Czechia,Denmark,Estonia,Finland,France,Germany,Hungary,Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Netherlands,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden
2004,22.55,1.92,9.23,23.4,3.07,6.77,14.84,18.42,29.23,9.32,6.21,4.36,2.38,6.32,32.79,17.22,0.9,0.1,2.03,6.88,19.2,16.81,6.39,18.4,8.35,38.43
2005,24.35,2.33,9.17,23.69,3.13,7.11,15.96,17.48,28.81,9.27,7.17,6.93,2.82,7.55,32.26,16.77,1.4,0.12,2.48,6.87,19.52,17.57,6.36,19.81,8.44,39.98
2006,26.28,2.66,9.41,22.67,3.26,7.36,16.33,16.01,30.04,8.94,8.47,7.43,3.07,8.33,31.14,16.89,1.47,0.15,2.78,6.86,20.79,17.1,6.58,18.42,9.16,41.73
2007,28.14,3.14,9.1,22.16,4.0,7.9,17.75,17.14,29.56,9.43,10.04,8.57,3.5,9.81,29.62,16.48,2.72,0.18,3.3,6.9,21.91,18.2,7.77,19.68,9.67,43.22
2008,28.79,3.61,10.34,21.99,5.13,8.67,18.54,18.81,31.07,11.19,10.07,8.56,3.98,11.49,29.81,17.82,2.81,0.2,3.6,7.69,22.93,20.2,7.72,18.65,10.74,43.92
2009,31.04,4.75,12.0,23.6,5.92,9.98,19.95,23.01,31.04,12.22,10.85,11.67,5.24,12.78,34.32,19.8,2.93,0.22,4.27,8.68,24.4,22.16,9.37,20.76,12.96,47.02
2010,31.2,6.0,13.93,25.1,6.16,10.51,21.89,24.58,32.17,12.67,11.67,12.74,5.76,13.02,30.38,19.64,2.85,0.98,3.92,9.28,24.15,22.83,9.1,21.08,13.78,46.1
2011,31.55,6.3,14.15,25.39,6.24,10.94,23.39,25.52,32.53,10.81,12.47,13.97,6.6,12.88,33.48,19.94,2.86,1.85,4.52,10.34,24.6,21.74,10.35,20.94,13.18,47.63
2012,32.73,7.09,15.84,26.76,7.11,12.81,25.46,25.59,34.22,13.24,13.55,15.53,7.03,15.44,35.71,21.44,3.11,2.86,4.66,10.96,24.57,22.82,10.45,21.55,14.24,49.4
2013,32.66,7.67,18.9,28.04,8.43,13.93,27.17,25.36,36.63,13.88,13.76,16.2,7.52,16.74,37.04,22.69,3.49,3.76,4.69,11.45,25.7,23.89,10.13,23.16,15.08,50.15
2014,33.55,8.04,18.05,27.82,9.14,15.07,29.31,26.13,38.63,14.36,14.38,14.62,8.52,17.08,38.63,23.59,4.47,4.74,5.42,11.6,29.51,24.84,11.71,22.46,15.88,51.15
2015,33.5,8.06,18.26,28.97,9.9,15.07,30.47,28.99,39.23,14.8,14.9,14.5,9.08,17.52,37.54,25.75,4.99,5.12,5.71,11.88,30.51,24.78,12.88,22.88,16.22,52.22
2016,33.37,8.74,18.76,28.27,9.83,14.93,31.72,29.23,38.94,15.45,14.88,14.38,9.19,17.42,37.14,25.61,5.36,6.21,5.85,11.4,30.86,25.03,12.03,21.98,17.02,52.6
2017,33.14,9.14,18.7,27.28,10.48,14.8,34.39,29.54,40.86,15.85,15.47,13.56,10.52,18.27,39.01,26.04,6.19,7.22,6.51,11.06,30.61,24.45,11.46,21.66,17.12,53.39
2018,33.78,9.47,20.58,28.05,13.87,15.14,35.16,29.97,41.18,16.38,16.66,12.55,10.94,17.8,40.02,24.7,8.94,7.91,7.39,14.94,30.2,23.88,11.9,21.38,17.02,53.92
2019,33.76,9.93,21.54,28.47,13.78,16.24,37.02,31.73,42.81,17.17,17.27,12.63,11.98,18.18,40.93,25.47,7.05,8.23,8.89,15.38,30.62,24.29,16.89,21.97,17.85,55.78
2020,36.54,13.0,23.32,31.02,16.88,17.3,31.68,30.07,43.94,19.11,19.09,13.85,16.16,20.36,42.13,26.77,11.7,10.71,14.0,16.1,33.98,24.48,17.34,25.0,21.22,60.12
2021,34.64,13.02,19.39,31.28,19.07,17.61,41.49,37.34,42.82,19.39,19.3,14.13,12.94,18.89,42.11,28.17,11.71,12.63,13.12,15.6,33.98,23.87,17.42,25.0,20.55,62.53
2022,34.06,13.83,19.08,28.09,19.43,18.12,41.37,38.54,47.74,20.33,20.83,15.13,13.02,18.83,43.79,29.6,14.29,14.04,15.29,16.64,34.67,24.23,17.48,25.0,21.84,66.29
2023,41.6,14.67,23.15,28.09,20.21,18.56,43.73,40.95,50.78,22.46,21.51,17.12,15.24,19.18,43.25,31.93,14.31,15.44,17.59,16.65,35.15,25.76,16.99,25.07,24.98,66.39
2024,42.95,14.34,23.21,26.48,20.84,19.21,46.46,42.23,52.12,23.23,22.47,18.26,16.06,19.39,45.54,35.41,14.74,17.21,20.18,17.77,36.32,25.38,18.09,25.0,25.42,62.85
