year,Sweden,Denmark,Finland,Luxembourg,Belgium,Ireland,EU average
2004,38.43,14.84,29.23,0.9,1.92,2.38,9.605
2005,39.98,15.96,28.81,1.4,2.33,2.82,10.182
2006,41.73,16.33,30.04,1.47,2.66,3.07,10.778
2007,43.22,17.75,29.56,2.72,3.14,3.5,11.749
2008,43.92,18.54,31.07,2.81,3.61,3.98,12.552
2009,47.02,19.95,31.04,2.93,4.75,5.24,13.85
2010,46.1,21.89,32.17,2.85,6.0,5.76,14.405
2011,47.63,23.39,32.53,2.86,6.3,6.6,14.547
2012,49.4,25.46,34.22,3.11,7.09,7.03,16.002
2013,50.15,27.17,36.63,3.49,7.67,7.52,16.659
2014,51.15,29.31,38.63,4.47,8.04,8.52,17.416
2015,52.22,30.47,39.23,4.99,8.06,9.08,17.82
2016,52.6,31.72,38.94,5.36,8.74,9.19,17.978
2017,53.39,34.39,40.86,6.19,9.14,10.52,18.411
2018,53.92,35.16,41.18,8.94,9.47,10.94,19.096
2019,55.78,37.02,42.81,7.05,9.93,11.98,19.887
2020,60.12,31.68,43.94,11.7,13.0,16.16,22.038
2021,62.53,41.49,42.82,11.71,13.02,12.94,21.897
2022,66.29,41.37,47.74,14.29,13.83,13.02,23.003
2023,66.39,43.73,50.78,14.31,14.67,15.24,24.579
2024,62.85,46.46,52.12,14.74,14.34,16.06,25.241
