nuts_code,region_name,country,share_pct,nights_millions
ES532,Mallorca,ES,1.8,55.3
ITI43,Roma,IT,1.5,47.2
FR101,Paris,FR,1.4,43.2
ES511,Barcelona,ES,1.3,41.2
ITH35,Venezia,IT,1.2,38.8
ITH10,Bolzano-Bozen,IT,1.2,37.0
ES709,Tenerife,ES,1.1,35.8
ES521,Alicante / Alacant,ES,1.0,32.6
ES300,Madrid,ES,1.0,32.3
ES617,Málaga,ES,1.0,30.5
DE300,Berlin,DE,1.0,30.4
EL421,"Kalymnos, Karpathos, Kos, Rodos",EL,0.9,28.7
HR036,Istarska zupanija,HR,0.9,27.9
ES705,Gran Canaria,ES,0.9,27.0
NL329,Groot-Amsterdam,NL,0.9,26.9
ES512,Girona,ES,0.8,24.5
PT150,Algarve,PT,0.7,23.0
PT170,Área Metropolitana de Lisboa,PT,0.7,22.4
ES514,Tarragona,ES,0.6,19.7
DE212,"München, Kreisfreie Stadt",DE,0.6,19.7
